id,full_name,created_at,is_active,safehouse_id,supporter_id,user_name,normalized_user_name,email,normalized_email,email_confirmed,password_hash,security_stamp,concurrency_stamp,phone_number,phone_number_confirmed,two_factor_enabled,lockout_end,lockout_enabled,access_failed_count
08b2a647-4f97-4ee6-9bef-3a4ad47834d6,James Reyes,2026-04-07 21:42:24.016765+00,true,2,,jreyes@pagasasanctuary.org,JREYES@PAGASASANCTUARY.ORG,jreyes@pagasasanctuary.org,JREYES@PAGASASANCTUARY.ORG,true,AQAAAAIAAYagAAAAEMVpPtXWACwUq0YYjO2GumrkUCmKYCjPHJdGMo71lkUY9PbvEmAd1TPyM5910MZeZw==,4ZUCPKZEXCWZ7DG7UAAKGGD5VWZS33HK,aeb19b6f-4cb4-4b75-b3a0-feded2407130,,false,false,,true,0
0b4f491f-b8f3-459f-a558-39b7cdaca03c,Owen Nguyen,2026-04-07 21:46:19.246448+00,true,,14,owen-nguyen@globe.com.ph,OWEN-NGUYEN@GLOBE.COM.PH,owen-nguyen@globe.com.ph,OWEN-NGUYEN@GLOBE.COM.PH,true,AQAAAAIAAYagAAAAEH8ijA1UI/7NHCU3ZcQsKQXjDBStFzNqb7RP1topDlo4ArI5ga14ypY6f8Sxj2pnWw==,SAQQ7Y6DUDXZ4SMKQZFJ4W7SIHWYKRBL,b4eb0ed1-a868-43e7-b7f4-1e9302176ae8,,false,false,,true,0
0d9f7d2d-1f12-463d-afbb-94c7f2b7f9fc,Rosa Garcia,2026-04-07 21:42:26.319598+00,true,5,,rgarcia@pagasasanctuary.org,RGARCIA@PAGASASANCTUARY.ORG,rgarcia@pagasasanctuary.org,RGARCIA@PAGASASANCTUARY.ORG,true,AQAAAAIAAYagAAAAEMppbJneZZwCP21bTnQbdY2zbWe62evRNQ1uViImegErzgi+C7tWqoY5zaSC8Jts5Q==,4OTSFE4FYU2ZL4IERPMHL4NW4KHGBNBT,ea674175-e968-4488-9bd3-aea7826fef63,,false,false,,true,0
1e5bf1a3-89a4-4e48-b800-86998bdc3a13,Liam Diaz,2026-04-07 21:46:16.161688+00,true,,4,liam-diaz@globe.com.ph,LIAM-DIAZ@GLOBE.COM.PH,liam-diaz@globe.com.ph,LIAM-DIAZ@GLOBE.COM.PH,true,AQAAAAIAAYagAAAAEDlI/9bj8xwpu2YsJZwu/THFhHWFAKSmhpsTdrDYmZAm3YKhXSZluEg0OpviGCReYQ==,QQWZQQMQQ46J5ZRYUL3FE2AJB46I5AAZ,915bf61d-749d-4898-904a-326ce709b118,,false,false,,true,0
1f7dcd37-8787-4899-8b9c-869b60146b68,Aria Brown,2026-04-09 05:51:25.93644+00,true,,2,aria-brown@pldt.net.ph,ARIA-BROWN@PLDT.NET.PH,aria-brown@pldt.net.ph,ARIA-BROWN@PLDT.NET.PH,true,AQAAAAIAAYagAAAAELg7s/n4Un/3u3fp5wqE505IxXpYybXawBcSct3kMTugQibyI6gr8CxjP2Aqf7fdqg==,YSNRJUDMGGAXDZ4KIHWGHUBERP3H6HYS,ff34a4b0-f531-47f1-b8eb-f592c50e37cb,,false,false,,true,0
2007f9fd-f0e3-4c38-a638-afa472de6cde,Ethan Garcia,2026-04-07 21:46:17.720001+00,true,,7,ethan-garcia@aol.com,ETHAN-GARCIA@AOL.COM,ethan-garcia@aol.com,ETHAN-GARCIA@AOL.COM,true,AQAAAAIAAYagAAAAEMxkx2o7s6jsdn7ljC+rxLJG5RF96HR2ThoXVsJzTQxiAeqI5H5+xAFN9/uINqlaBQ==,SXG6YIZGF3JGLBF6YVABV776NXLIDQN5,863681b9-0f9e-43d2-a094-8ce90825b82e,,false,false,,true,0
20745f72-9a20-46ce-9504-a0819c3f4546,Mila Alvarez,2026-04-09 05:48:26.799538+00,true,,1,mila-alvarez@smart.com.ph,MILA-ALVAREZ@SMART.COM.PH,mila-alvarez@smart.com.ph,MILA-ALVAREZ@SMART.COM.PH,true,AQAAAAIAAYagAAAAEJqRnyYlPeZCr2iq8ULwPkOlm2F0pPUyQZUzam9wHyGhoctaVSx5EBJyeifCO0ZIsA==,7VEVTN2OFCAGHI2TWKWXEMR2TQEQE5QM,811478ca-037f-4401-a0fe-4958cb5c66ac,,false,false,,true,0
2904ce11-6510-4862-8161-981fbc34524c,Margo Zhang,2026-04-07 21:46:23.141285+00,true,,26,margo-zhang@smart.com.ph,MARGO-ZHANG@SMART.COM.PH,margo-zhang@smart.com.ph,MARGO-ZHANG@SMART.COM.PH,true,AQAAAAIAAYagAAAAEBTRCKDbiF20S4Eyaw+XMrg1iHqlZ8xXCJRRr7CJQI0VUJBV0gMUwCPsITKqaQp6+g==,FN7RPSG4U5VTGF674JG6Y3BIU2GG73IO,f2e478a9-9b1d-4545-b15f-aaaf9713d70f,,false,false,,true,0
305e476c-ea16-45bf-bae5-cff2947ffe26,Finn Price,2026-04-07 21:46:25.510602+00,true,,42,finn-price@smart.com.ph,FINN-PRICE@SMART.COM.PH,finn-price@smart.com.ph,FINN-PRICE@SMART.COM.PH,true,AQAAAAIAAYagAAAAEHc2l9sejxWbFXru9XS21Ra8XDoxvs6B+xH0Yv6a1eZK57dQK5E6AC5E92GTYOJAtw==,Q6FAXOU4BXWYTPCJJFH67MMAGQ7PINWG,cdda9554-1427-43f3-8961-ca0dd2c782ed,,false,false,,true,0
30edd0d1-5c7b-47e3-8ef7-c6c1f5f36e45,Hope Group,2026-04-09 06:59:52.668312+00,true,,13,hope-group@hopegroup.ph,HOPE-GROUP@HOPEGROUP.PH,hope-group@hopegroup.ph,HOPE-GROUP@HOPEGROUP.PH,true,AQAAAAIAAYagAAAAEBoxDEEqdRrWxaDUHiUgquTjNi0PNvktiCfonucxlAJVxOlXBO39us+DzIAjm3dvlA==,7HR62JRW3UD2ZG7PFGW4OQERISXU4JCO,888ef0dd-53c5-4da7-84ad-8b6a4b3ab205,,false,false,,true,0
